Marathon Name,City,State/Country,Date,courseSlug,status,sourceUrl,note
Mt. Umunhum Trail Marathon,"San Jose, CA 02/07/2026",CA,02/07/2026,,not-on-source,,no goandrace listing in any crawl
Papa Loco Marathon,"Conway, AR 02/08/2026",AR,02/08/2026,,not-on-source,,no goandrace listing in any crawl
Harlingen Marathon,"Harlingen, TX 02/08/2026",TX,02/08/2026,,not-on-source,,no goandrace listing in any crawl
Gone Loco Marathon,"Athens, TN 02/08/2026",TN,02/08/2026,,not-on-source,,no goandrace listing in any crawl
Mesa Marathon,"Mesa, AZ 02/13/2027",AZ,02/13/2027,mesa-marathon,in-db,,Mesa Marathon
Run Oak Island Marathon,"Oak Island, NC 02/13/2027",NC,02/13/2027,,not-on-source,,no goandrace listing in any crawl
Love Chocolate Marathon,"Savannah, GA 02/13/2027",GA,02/13/2027,,not-on-source,,no goandrace listing in any crawl
Ft. Lauderdale A1A Marathon,"Ft. Lauderdale, FL 02/14/2027",FL,02/14/2027,fort-lauderdale-a1a-marathon,in-db,,Fort Lauderdale A1A Marathon
Austin Marathon,"Austin, TX 02/14/2027",TX,02/14/2027,austin-marathon,in-db,,Austin Marathon
Valentines Day Massacre Marathon,"Greensboro, NC 02/14/2027",NC,02/14/2027,,not-on-source,,no goandrace listing in any crawl
Fort Ebey Kettles Trail Marathon,"Whidbey Island, WA 02/14/2026",WA,02/14/2026,,not-on-source,,no goandrace listing in any crawl
Rescue Rover Marathon (Dalmatian Run Fest),"Bedford, TX 02/14/2026",TX,02/14/2026,,not-on-source,,no goandrace listing in any crawl
Hilton Head Island Marathon,"Hilton Head Island, SC TBD",SC,TBD,,no-date,,"date is ""TBD"""
Puppy Power Marathon (Dalmatian Run Fest),"Bedford, TX 02/15/2026",TX,02/15/2026,,not-on-source,,no goandrace listing in any crawl
Mighty Mutt Marathon (Dalmatian Run Fest),"Bedford, TX 02/16/2026",TX,02/16/2026,,not-on-source,,no goandrace listing in any crawl
Mississippi Blues Marathon,"Jackson, MS 02/20/2027",MS,02/20/2027,mississippi-blues-marathon,in-db,,Mississippi Blues Marathon
Montara Mountain Marathon,"Pacifica, CA 02/20/2027",CA,02/20/2027,,not-on-source,,no goandrace listing in any crawl
Running from Yeti Marathon,"Springfield, MO 02/20/2027",MO,02/20/2027,,not-on-source,,no goandrace listing in any crawl
Galveston Marathon,"Galveston, TX 02/21/2027",TX,02/21/2027,galveston-marathon,in-db,,Galveston Marathon
Ventura Marathon,"Ventura, CA 02/21/2027",CA,02/21/2027,,not-on-source,,no goandrace listing in any crawl
Seville Marathon,"Seville, ES 02/21/2027",ES,02/21/2027,seville-marathon,in-db,,Seville Marathon
Wicked Fast (AZ) Marathon,"Tucson, AZ 02/21/2026",AZ,02/21/2026,,not-on-source,,no goandrace listing in any crawl
We Run this Beach Marathon,"Gulf Shores, AL 02/22/2026",AL,02/22/2026,,not-on-source,,no goandrace listing in any crawl
Wilmington Marathon,"Wilmington, NC 02/27/2027",NC,02/27/2027,wilmington-marathon,in-db,,Wilmington Marathon
Woodlands Marathon,"The Woodlands, TX 02/27/2027",TX,02/27/2027,the-woodlands-marathon,in-db,,The Woodlands Marathon
SoCal Marathon,"Huntington Beach, CA 02/27/2027",CA,02/27/2027,,not-on-source,,no goandrace listing in any crawl
Ellerbe Marathon,"Ellerbe, NC 02/28/2026",NC,02/28/2026,,not-on-source,,no goandrace listing in any crawl
El Paso Marathon,"El Paso, TX 02/28/2027",TX,02/28/2027,,not-on-source,,no goandrace listing in any crawl
Cowtown Marathon,"Fort Worth, TX 02/28/2027",TX,02/28/2027,cowtown-marathon,in-db,,Cowtown Marathon
Cummins Falls Marathon,"Cookeville, TN 02/28/2026",TN,02/28/2026,cummins-falls-marathon,in-db,,Cummins Falls Marathon
Oak Ridge to Kingston Express Marathon,"Oak Ridge, TN 02/28/2027",TN,02/28/2027,,not-on-source,,no goandrace listing in any crawl
Every Womans Marathon,"New Orleans, LA 02/28/2027",LA,02/28/2027,,not-on-source,,no goandrace listing in any crawl
Hyannis Marathon,"Hyannis, MA 03/02/2025",MA,03/02/2025,hyannis-marathon,in-db,,Hyannis Marathon
Combos Marathon,"Albany, GA 03/06/2027",GA,03/06/2027,albany-combos-marathon,in-db,https://www.goandrace.com/en/running-events/albany-combos-marathon-2025-albany.php,already imported from albany-combos-marathon
Myrtle Beach Marathon,"Myrtle Beach, SC 03/06/2027",SC,03/06/2027,myrtle-beach-marathon,in-db,,Myrtle Beach Marathon
Run the Alamo 26.2 Marathon,"San Antonio, TX 03/06/2027",TX,03/06/2027,alamo-marathon,in-db,,Alamo Marathon
Atlanta Marathon,"Atlanta, GA 03/07/2027",GA,03/07/2027,atlanta-marathon,in-db,,Atlanta Marathon
Little Rock Marathon,"Little Rock, AR 03/07/2027",AR,03/07/2027,little-rock-marathon,in-db,,Little Rock Marathon
Los Angeles Marathon,"Los Angeles, CA 03/07/2027",CA,03/07/2027,los-angeles-marathon,in-db,,Los Angeles Marathon
Napa Valley Marathon,"Napa, CA 03/07/2027",CA,03/07/2027,,not-on-source,,no goandrace listing in any crawl
Umstead Marathon,"Raleigh, NC 03/07/2026",NC,03/07/2026,,not-on-source,,no goandrace listing in any crawl
Seneca Creek Greenway Trail Marathon,"Damascus, MD 03/07/2026",MD,03/07/2026,,not-on-source,,no goandrace listing in any crawl
Cross Timbers Trail Runs Marathon,"Lake Texoma, TX 03/07/2026",TX,03/07/2026,,not-on-source,,no goandrace listing in any crawl
Sand Hollow Marathon,"Hurricane, UT 03/07/2026",UT,03/07/2026,,not-on-source,,no goandrace listing in any crawl
Zydeco Marathon,"Lafayette, LA 03/07/2027",LA,03/07/2027,zydeco-marathon,in-db,,Zydeco Marathon
Marathon of the Treasure Coast,"Stuart, FL 03/07/2027",FL,03/07/2027,,not-on-source,,no goandrace listing in any crawl
Newport News One City Marathon,"Newport News, VA 03/07/2027",VA,03/07/2027,newport-marathon,in-db,,Newport Marathon
Tokyo Marathon,"Tokyo, JP 03/07/2027",JP,03/07/2027,tokyo,in-db,,Tokyo Marathon
Hachie Marathon,"Waxahachie, TX 03/07/2026",TX,03/07/2026,,not-on-source,,no goandrace listing in any crawl
Flowerfest Marathon at Callaway Gardens,"Pine Mountain, GA 03/08/2025",GA,03/08/2025,flowerfest-marathon,parser-rejected,https://www.goandrace.com/en/running-events/flowerfest-marathon-2025-pine-mountain.php,fetch: event page links no course map
Catalina Marathon,"Catalina Island, CA 03/13/2027",CA,03/13/2027,,not-on-source,,no goandrace listing in any crawl
Seabrook Lucky Trail Marathon,"Seabrook, TX 03/13/2027",TX,03/13/2027,,not-on-source,,no goandrace listing in any crawl
Run Through Time Marathon,"Salida, CO 03/13/2027",CO,03/13/2027,,not-on-source,,no goandrace listing in any crawl
Land Between the Lakes Marathon,"Grand Rivers, KY 03/13/2027",KY,03/13/2027,,not-on-source,,no goandrace listing in any crawl
Run the Rainbow for Childrens Marathon,"Jackson, MS 03/13/2027",MS,03/13/2027,,not-on-source,,no goandrace listing in any crawl
Big Island International Marathon,"Hilo, HI 03/14/2027",HI,03/14/2027,,not-on-source,,no goandrace listing in any crawl
Tobacco Road Marathon,"Cary, NC 03/14/2027",NC,03/14/2027,tobacco-road-marathon,in-db,,Tobacco Road Marathon
Rome Marathon,"Rome, IT 03/14/2027",IT,03/14/2027,rome-marathon,in-db,,Rome Marathon
Barcelona Marathon,"Barcelona, ES 03/14/2027",ES,03/14/2027,barcelona-marathon,in-db,,Barcelona Marathon
